title,year,link,price,city,date,views,is_verified_seller,is_from_dealer,is_official_dealer,mean_price,offer_price,generation,bodywork,engine_volume,mileage,transmission,drive,wheel,color,customs_clearance_in_kz,city_filter,price_numeric,engine_volume_num,brand,price_diff,is_bargain,car_age,price_per_year
Dodge ram,2018,https://kolesa.kz/a/show/218199165?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=1,65000000,Кокшетау,30 апреля,223,False,False,False,53224000.0,65 000 000 ₸,2018 - н.в. 5 поколение,Пикап,3 (бензин),2000,Автомат,Полный привод,Слева,Белый металлик,Да,all,65000000,3.0,Dodge,-11776000.0,No,8,7222222.222222222
Lexus lx 600 overtrail,2021,https://kolesa.kz/a/show/217091149?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=2,77500000,Астана,30 апреля,573,True,False,False,86302000.0,77 500 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (бензин),43017,Автомат,Полный привод,Слева,Белый,Да,all,77500000,3.5,Lexus,8802000.0,Yes,5,12916666.666666666
Bmw x5,2023,https://kolesa.kz/a/show/217460478?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=3,77493000,Павлодар,30 апреля,494,False,False,True,65066000.0,77 493 000 ₸,2023 - н.в. G05 рестайлинг,Кроссовер,3 (бензин),0,Автомат,Полный привод,Слева,Не указан,Да,all,77493000,3.0,Bmw,-12427000.0,No,3,19373250.0
Bmw x5 xdrive 40i,2023,https://kolesa.kz/a/show/213990253?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=4,71738000,Павлодар,30 апреля,3065,False,False,True,65066000.0,71 738 000 ₸,2023 - н.в. G05 рестайлинг,Кроссовер,3 (бензин),0,Автомат,Полный привод,Слева,Не указан,Да,all,71738000,3.0,Bmw,-6672000.0,No,3,17934500.0
Lexus lx 600,2021,https://kolesa.kz/a/show/215674472?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=5,74000000,Астана,30 апреля,1801,False,False,False,73055000.0,74 000 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (бензин),47000,Автомат,Полный привод,Слева,Не указан,Да,all,74000000,3.5,Lexus,-945000.0,No,5,12333333.333333334
Bmw x5 xdrive 40i,2023,https://kolesa.kz/a/show/214064155?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=6,71738000,Семей,30 апреля,1799,False,False,True,65066000.0,71 738 000 ₸,2023 - н.в. G05 рестайлинг,Кроссовер,3 (бензин),0,Автомат,Полный привод,Слева,Не указан,Да,all,71738000,3.0,Bmw,-6672000.0,No,3,17934500.0
Cadillac escalade,2024,https://kolesa.kz/a/show/217589448?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=7,110000000,Астана,30 апреля,827,False,False,False,100000000.0,110 000 000 ₸,2024 - н.в. 5 поколение рестайлинг,Внедорожник,6.2 (бензин),10000,Автомат,Полный привод,Слева,Черный,Да,all,110000000,6.2,Cadillac,-10000000.0,No,2,36666666.666666664
Bmw x7 xdrive 40i,2022,https://kolesa.kz/a/show/217981281?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=8,69590000,Алматы,30 апреля,323,True,False,False,71561000.0,69 590 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),21683,Автомат,Полный привод,Слева,Белый,Да,all,69590000,3.0,Bmw,1971000.0,No,4,13918000.0
Land rover defender x-dynamic se,2019,https://kolesa.kz/a/show/216156099?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=9,81327000,Алматы,30 апреля,567,True,False,False,79103000.0,81 327 000 ₸,2019 - н.в. 2 поколение (L663),Внедорожник,3 (бензин),20,Автомат,Полный привод,Слева,Белый,Да,all,81327000,3.0,Land,-2224000.0,No,7,10165875.0
Infiniti qx80,2024,https://kolesa.kz/a/show/214043560?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=10,76990000,Караганда,30 апреля,1193,False,False,True,79103000.0,76 990 000 ₸,2024 - н.в. Z63,Внедорожник,3.5 (бензин),0,Автомат,Полный привод,Слева,Не указан,Да,all,76990000,3.5,Infiniti,2113000.0,No,2,25663333.333333332
