title,year,link,price,monthly_payment,down_payment_pct,city,date,views,is_verified_seller,is_from_dealer,is_official_dealer,down_payment,mean_price,offer_price,generation,bodywork,engine_volume,mileage,transmission,drive,wheel,color,customs_clearance_in_kz,city_filter,price_numeric
Dodge RAM,2018,https://kolesa.kz/a/show/218199165?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=1,65 000 000₸,,,Кокшетау,30 апреля,223,FALSE,FALSE,FALSE,,53 224 000 ₸,65 000 000 ₸,2018 - н.в. 5 поколение,Пикап,3 (бензин),2 000 км,Автомат,Полный привод,Слева,белый металлик,Да,all,65000000
Lexus LX 600 Overtrail,2021,https://kolesa.kz/a/show/217091149?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=2,77 500 000₸,,,Астана,30 апреля,573,TRUE,FALSE,FALSE,,86 302 000 ₸,77 500 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (бензин),43 017 км,Автомат,Полный привод,Слева,белый,Да,all,77500000
BMW X5,2023,https://kolesa.kz/a/show/217460478?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=3,77 493 000₸,,,Павлодар,30 апреля,494,FALSE,FALSE,TRUE,,65 066 000 ₸,77 493 000 ₸,2023 - н.в. G05 рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,,Да,all,77493000
BMW X5 XDrive 40i,2023,https://kolesa.kz/a/show/213990253?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=4,71 738 000₸,,,Павлодар,30 апреля,3065,FALSE,FALSE,TRUE,,65 066 000 ₸,71 738 000 ₸,2023 - н.в. G05 рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,,Да,all,71738000
Lexus LX 600,2021,https://kolesa.kz/a/show/215674472?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=5,74 000 000₸,,,Астана,30 апреля,1801,FALSE,FALSE,FALSE,,73 055 000 ₸,74 000 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (бензин),47 000 км,Автомат,Полный привод,Слева,,Да,all,74000000
BMW X5 XDrive 40i,2023,https://kolesa.kz/a/show/214064155?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=6,71 738 000₸,,,Семей,30 апреля,1799,FALSE,FALSE,TRUE,,65 066 000 ₸,71 738 000 ₸,2023 - н.в. G05 рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,,Да,all,71738000
Cadillac Escalade,2024,https://kolesa.kz/a/show/217589448?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=7,110 000 000₸,,,Астана,30 апреля,827,FALSE,FALSE,FALSE,,100 000 000 ₸,110 000 000 ₸,2024 - н.в. 5 поколение рестайлинг,Внедорожник,6.2 (бензин),10 000 км,Автомат,Полный привод,Слева,черный,Да,all,110000000
BMW X7 XDrive 40i,2022,https://kolesa.kz/a/show/217981281?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=8,69 590 000₸,,,Алматы,30 апреля,323,TRUE,FALSE,FALSE,,71 561 000 ₸,69 590 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),21 683 км,Автомат,Полный привод,Слева,белый,Да,all,69590000
Land Rover Defender X-Dynamic SE,2019,https://kolesa.kz/a/show/216156099?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=9,81 327 000₸,,,Алматы,30 апреля,567,TRUE,FALSE,FALSE,,,81 327 000 ₸,2019 - н.в. 2 поколение (L663),Внедорожник,3 (бензин),20 км,Автомат,Полный привод,Слева,белый,Да,all,81327000
Infiniti QX80,2024,https://kolesa.kz/a/show/214043560?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=10,76 990 000₸,,,Караганда,30 апреля,1193,FALSE,FALSE,TRUE,,,76 990 000 ₸,2024 - н.в. Z63,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,,Да,all,76990000
Mercedes-Benz S 63 AMG,2020,https://kolesa.kz/a/show/203340191?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=11,110 000 000₸,,,Алматы,30 апреля,2142,FALSE,FALSE,FALSE,,,110 000 000 ₸,2020 - н.в. W223,Седан,4 (гибрид),17 000 км,Автомат,Полный привод,Слева,,Да,all,110000000
Mercedes-Benz GLS 63 AMG 4MATIC,2019,https://kolesa.kz/a/show/193142451?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=12,124 000 000₸,,,Астана,30 апреля,7257,FALSE,FALSE,TRUE,,,124 000 000 ₸,2019 - н.в. X167,Внедорожник,4 (бензин),,Автомат,Полный привод,Слева,серый,Да,all,124000000
BMW X7,2022,https://kolesa.kz/a/show/215201486?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=13,96 641 305₸,,,Алматы,30 апреля,1978,FALSE,FALSE,TRUE,,,96 641 305 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,4.4 (бензин),6 км,Автомат,Полный привод,Слева,синий,Да,all,96641305
Audi RS 7,2019,https://kolesa.kz/a/show/214291416?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=14,85 000 000₸,,,Алматы,30 апреля,3045,FALSE,FALSE,FALSE,,,85 000 000 ₸,2019 - н.в. 2 поколение (C8),Лифтбек,4 (бензин),20 000 км,Автомат,Полный привод,Слева,синий металлик,Да,all,85000000
Toyota Land Cruiser Premium+,2021,https://kolesa.kz/a/show/200050759?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=15,74 890 000₸,,,Астана,30 апреля,3341,FALSE,FALSE,TRUE,,67 236 000 ₸,74 890 000 ₸,2021 - н.в. J300,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,,Да,all,74890000
Mercedes-Benz G 63 AMG,2018,https://kolesa.kz/a/show/216820595?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=16,110 000 000₸,,,Алматы,30 апреля,834,FALSE,FALSE,FALSE,,113 951 000 ₸,110 000 000 ₸,2018 - н.в. W463,Внедорожник,4 (бензин),57 500 км,Автомат,Полный привод,Слева,черный металлик,Да,all,110000000
Mercedes-Benz EQV,2019,https://kolesa.kz/a/show/207478684?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=17,117 000 000₸,,,Петропавловск,30 апреля,750,FALSE,FALSE,FALSE,,,117 000 000 ₸,2019 - н.в. 1 поколение,Минивэн,,7 000 км,Автомат,Передний привод,Слева,черный,Да,all,117000000
Mercedes-Benz S 63 AMG,2020,https://kolesa.kz/a/show/218641405?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=18,144 500 000₸,,,Алматы,30 апреля,143,FALSE,FALSE,FALSE,,,144 500 000 ₸,2020 - н.в. W223,Седан,4 (гибрид),,Автомат,Полный привод,Слева,черный,Нет,all,144500000
Lexus LX 600,2021,https://kolesa.kz/a/show/217433659?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=19,67 000 000₸,,,Алматы,30 апреля,927,FALSE,FALSE,FALSE,,69 560 000 ₸,67 000 000 ₸,2021 - н.в. 4 поколение,Внедорожник,3.5 (бензин),85 000 км,Автомат,Полный привод,Слева,,Да,all,67000000
Rolls-Royce Ghost,2014,https://kolesa.kz/a/show/216987249?search_id=3e6d04b0d1b08d80384b0b5bd23b4d31f065bc2c&search_type=filter&advert_position=20,90 000 000₸,,,Алматы,30 апреля,2085,FALSE,FALSE,FALSE,,,90 000 000 ₸,2014 - 2020 1 поколение рестайлинг (RR4),Седан,6.6 (бензин),13 000 км,Автомат,Задний привод,Слева,белый,Да,all,90000000
Rolls-Royce Ghost,2014,https://kolesa.kz/a/show/216987249?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=21,90 000 000₸,,,Алматы,30 апреля,2086,FALSE,FALSE,FALSE,,,90 000 000 ₸,2014 - 2020 1 поколение рестайлинг (RR4),Седан,6.6 (бензин),13 000 км,Автомат,Задний привод,Слева,белый,Да,all,90000000
BMW X7,2022,https://kolesa.kz/a/show/217461084?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=22,94 290 000₸,,,Павлодар,30 апреля,692,FALSE,FALSE,TRUE,,79 300 000 ₸,94 290 000 ₸,2022 - н.в. G07 рестайлинг,Кроссовер,3 (бензин),,Автомат,Полный привод,Слева,,Да,all,94290000
Infiniti QX80 Autograph,2024,https://kolesa.kz/a/show/209243106?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=23,88 990 000₸,,,Алматы,30 апреля,4316,FALSE,FALSE,TRUE,,,88 990 000 ₸,2024 - н.в. Z63,Внедорожник,3.5 (бензин),,Автомат,Полный привод,Слева,,Да,all,88990000
BMW M5,2020,https://kolesa.kz/a/show/218117563?search_id=4c1988cc1daca74d2c7b0b60170462f4e087fd12&search_type=filter&advert_position=24,60 000 000₸,,,Алматы,30 апреля,1049,FALSE,FALSE,FALSE,,60 175 000 ₸,60 000 000 ₸,2020 - н.в. F90 рестайлинг,Седан,4.4 (бензин),74 000 км,Автомат,Полный привод,Слева,,Да,all,60000000
